latitude,longitude,District,Capital,Province
37.102,70.5577,Fayzabad,1,Badakhshan
34.9866,63.1257,Qala-e-Naw,1,Badghis
35.9508,68.7128,Pul-e-Khumri,1,Baghlan
36.7107618,67.11927253,Mazar-e-Sharif,1,Balkh
34.8127,67.8232,Bamyan,1,Bamyan
33.7234,66.1442,Nili,1,Daykundi
32.3744,62.1286,Farah,1,Farah
35.9233,64.7845,Maymana,1,Faryab
33.5502,68.4166,Ghazni,1,Ghazni
34.5193,65.2516,Feroz Koh,1,Ghor
31.5941,64.3721,Lashkargah,1,Hilmand
34.37439138,62.17384432,Hirat,1,Hirat
36.6696,65.7527,Shiberghan,1,Jawzjan
34.5178207,69.1508051,Kabul,1,Kabul
31.6227,65.7412,Kandahar,1,Kandahar
35.0167,69.3497,Mahmood-e-Raqi,1,Kapisa
33.3375,69.92,Matun,1,Khost
34.8776,71.1596,Asad Abad,1,Kunar
36.7213,68.8684,Kunduz,1,Kunduz
34.6729,70.2093,Mehtarlam,1,Laghman
34.0015,69.0183,Pul-e-Alam,1,Logar
34.3947,68.86618,Maydan Shahr,1,Maidan Wardak
34.42161518,70.46171896,Jalalabad,1,Nangarhar
30.958,61.8612,Zaranj,1,Nimroz
35.3152,70.8723,Parun,1,Nuristan
33.1744,68.7846,Sharan,1,Paktika
33.6021,69.2254,Gardez,1,Paktya
35.36371621,69.5234353,Bazarak,1,Panjsher
35.0089,69.1642,Charikar,1,Parwan
36.3083,67.9707,Aybak,1,Samangan
36.2172,65.9317,Sar-e-Pul,1,Sar-e-Pul
36.734,69.5376,Taloqan,1,Takhar
32.6285,65.8788,Tirinkot,1,Uruzgan
32.107,66.9052,Qalat,1,Zabul
